"Gemeenten";"Totaal elektriciteitsverbruik woningen geleverd via openbaar net|2017";"Totaal elektriciteitsverbruik woningen geleverd via openbaar net|2018";"Totaal elektriciteitsverbruik woningen geleverd via openbaar net|2019";"Totaal elektriciteitsverbruik woningen geleverd via openbaar net|2020";"Totaal elektriciteitsverbruik woningen geleverd via openbaar net|2021";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter|2017";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter|2018";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter|2019";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter|2020";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter|2021"
"Aa en Hunze";34,3;33,5;32,5;33,0;33,8;36,1;35,9;35,8;37,5;39,1
"Aalsmeer";39,9;38,5;38,5;38,9;40,0;40,8;39,8;40,3;41,7;43,5
"Aalten";33,4;32,0;33,2;33,9;34,6;34,7;34,0;35,7;37,2;38,6
"Achtkarspelen";31,1;30,7;31,2;32,1;33,1;32,1;31,9;33,5;35,5;37,1
"Alblasserdam";22,7;22,3;21,8;21,8;22,6;23,0;22,8;22,4;22,7;23,8
"Albrandswaard";30,8;30,7;29,7;31,0;31,8;31,2;31,3;30,7;32,6;34,0
"Alkmaar";125,9;122,6;121,5;123,1;125,1;128,5;126,3;127,4;131,8;136,1
"Almelo";90,1;87,3;85,0;86,4;89,2;91,9;90,0;88,7;91,3;95,8
"Almere";237,7;231,0;235,9;247,6;252,9;244,0;240,4;247,8;264,6;273,5
"Alphen aan den Rijn";130,6;127,9;127,9;130,3;133,7;133,1;132,3;134,4;140,8;147,3
"Alphen-Chaam";14,8;15,1;14,9;15,1;15,5;15,2;15,6;15,7;16,3;17,2
"Altena";69,5;70,3;68,9;69,7;71,7;71,0;72,6;72,2;74,9;78,3
"Ameland";4,8;4,9;4,9;5,1;5,3;5,0;5,1;5,1;5,5;5,8
"Amersfoort";177,4;174,3;169,5;171,5;178,0;181,3;180,5;179,0;184,7;193,9
"Amstelveen";115,6;110,8;109,2;110,8;112,7;116,9;112,7;112,4;115,6;118,7
"Amsterdam";903,3;883,1;884,7;915,2;940,8;909,5;892,5;897,9;934,0;963,6
"Apeldoorn";195,9;190,6;192,9;197,9;203,1;200,6;197,6;203,0;212,5;221,4
"Arnhem";178,3;173,3;174,5;180,9;186,8;181,2;178,0;180,8;189,7;197,8
"Assen";78,9;77,2;75,0;76,5;78,3;82,5;81,7;81,5;85,2;88,3
"Asten";23,0;23,1;22,5;22,4;23,1;23,6;24,0;23,9;24,6;26,1
